"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status","magLoss","choiceB","out","outcome_blue1"
"C10195",1,77,0,0,60,30,1,0,1,1,1
"C10195",1,78,0,0,36,91,1,0,1,1,1
"C10195",1,79,0,0,59,70,1,0,1,1,1
"C10195",1,80,1,1,47,64,1,47,1,-1,0
"C10195",2,81,0,1,44,28,1,28,0,-1,1
"C10195",1,82,0,0,80,2,1,0,1,1,1
"C10195",2,83,0,1,39,20,1,20,0,-1,1
"C10195",1,84,0,0,61,32,1,0,1,1,1
"C10195",1,85,0,0,61,90,1,0,1,1,1
"C10195",1,86,1,1,70,62,1,70,1,-1,0
"C10195",2,87,0,1,33,17,1,17,0,-1,1
"C10195",1,88,0,0,17,74,1,0,1,1,1
"C10195",1,89,0,0,85,2,1,0,1,1,1
"C10195",2,90,0,1,76,39,1,39,0,-1,1
"C10195",2,91,0,1,20,70,1,70,0,-1,1
"C10195",1,92,1,1,69,24,1,69,1,-1,0
"C10195",2,93,1,0,52,59,1,0,0,1,0
"C10195",2,94,0,1,43,15,1,15,0,-1,1
"C10195",1,95,1,1,34,50,1,34,1,-1,0
"C10195",2,96,0,1,48,43,1,43,0,-1,1
"C10195",1,97,1,1,35,14,1,35,1,-1,0
"C10195",1,98,1,1,42,12,1,42,1,-1,0
"C10195",1,99,1,1,44,40,1,44,1,-1,0
"C10195",1,100,1,1,50,88,1,50,1,-1,0
"C10195",2,101,1,0,19,51,1,0,0,1,0
"C10195",2,102,1,0,59,44,1,0,0,1,0
"C10195",2,103,1,0,9,23,1,0,0,1,0
"C10195",2,104,1,0,76,23,1,0,0,1,0
"C10195",2,105,1,0,47,94,1,0,0,1,0
"C10195",2,106,0,1,56,67,1,67,0,-1,1
"C10195",1,107,1,1,16,50,1,16,1,-1,0
"C10195",1,108,1,1,7,83,1,7,1,-1,0
"C10195",2,109,1,0,41,86,1,0,0,1,0
"C10195",2,110,1,0,37,61,1,0,0,1,0
"C10195",2,111,0,1,57,82,1,82,0,-1,1
"C10195",1,112,0,0,28,68,1,0,1,1,1
"C10195",2,113,0,1,76,65,1,65,0,-1,1
"C10195",1,114,0,0,19,25,1,0,1,1,1
"C10195",2,115,0,1,68,67,1,67,0,-1,1
"C10195",1,116,0,0,68,82,1,0,1,1,1
"C10195",1,117,0,0,19,88,1,0,1,1,1
"C10195",1,118,1,1,11,55,1,11,1,-1,0
"C10195",1,119,1,1,36,74,1,36,1,-1,0
"C10195",2,120,0,1,64,18,1,18,0,-1,1
"C10195",2,121,0,1,3,15,1,15,0,-1,1
"C10195",1,122,0,0,76,91,1,0,1,1,1
"C10195",1,123,0,0,92,66,1,0,1,1,1
"C10195",2,124,0,1,14,67,1,67,0,-1,1
"C10195",1,125,1,1,77,11,1,77,1,-1,0
"C10195",1,126,0,0,20,36,1,0,1,1,1
"C10195",1,127,0,0,61,44,1,0,1,1,1
"C10195",2,128,0,1,34,4,1,4,0,-1,1
"C10195",1,129,0,0,63,86,1,0,1,1,1
"C10195",1,130,0,0,43,99,1,0,1,1,1
"C10195",1,131,1,1,56,95,1,56,1,-1,0
"C10195",2,132,0,1,63,89,1,89,0,-1,1
"C10195",1,133,1,1,80,88,1,80,1,-1,0
"C10195",2,134,0,1,10,5,1,5,0,-1,1
"C10195",1,135,1,1,80,35,1,80,1,-1,0
"C10195",2,136,1,0,57,8,1,0,0,1,0
"C10195",2,137,1,0,47,78,1,0,0,1,0
"C10195",2,138,1,0,99,5,1,0,0,1,0
"C10195",2,139,1,0,67,62,1,0,0,1,0
"C10195",1,140,0,0,27,95,1,0,1,1,1
"C10221",1,1,1,1,37,44,-1,37,1,-1,0
"C10221",1,2,1,1,12,66,-1,12,1,-1,0
"C10221",1,3,1,1,9,98,-1,9,1,-1,0
"C10221",2,4,0,1,91,20,-1,20,0,-1,1
"C10221",2,5,1,0,8,28,-1,0,0,1,0
"C10221",2,6,1,0,33,30,-1,0,0,1,0
"C10221",2,7,1,0,24,27,-1,0,0,1,0
"C10221",2,8,0,1,43,58,-1,58,0,-1,1
"C10221",1,9,1,1,47,72,-1,47,1,-1,0
"C10221",2,10,0,1,44,44,-1,44,0,-1,1
"C10221",1,11,1,1,26,69,-1,26,1,-1,0
"C10221",2,12,1,0,41,6,-1,0,0,1,0
"C10221",2,13,1,0,34,88,-1,0,0,1,0
"C10221",2,14,0,1,18,73,-1,73,0,-1,1
"C10221",1,15,1,1,25,60,-1,25,1,-1,0
"C10221",1,16,1,1,6,68,-1,6,1,-1,0
"C10221",1,17,0,0,39,48,-1,0,1,1,1
"C10221",2,18,1,0,76,35,-1,0,0,1,0
"C10221",2,19,1,0,85,23,-1,0,0,1,0
"C10221",2,20,1,0,22,54,-1,0,0,1,0
"C10221",2,21,0,1,58,66,-1,66,0,-1,1
"C10221",1,22,1,1,41,98,-1,41,1,-1,0
"C10221",2,23,1,0,80,58,-1,0,0,1,0
"C10221",2,24,1,0,85,32,-1,0,0,1,0
"C10221",1,25,0,0,15,83,-1,0,1,1,1
"C10221",2,26,1,0,16,18,-1,0,0,1,0
"C10221",2,27,1,0,99,56,-1,0,0,1,0
"C10221",2,28,1,0,75,23,-1,0,0,1,0
"C10221",1,29,1,1,18,68,-1,18,1,-1,0
"C10221",1,30,1,1,16,30,-1,16,1,-1,0
"C10221",1,31,1,1,37,86,-1,37,1,-1,0
"C10221",2,32,1,0,44,47,-1,0,0,1,0
"C10221",2,33,1,0,91,3,-1,0,0,1,0
"C10221",2,34,0,1,14,60,-1,60,0,-1,1
"C10221",2,35,1,0,84,54,-1,0,0,1,0
"C10221",2,36,1,0,23,34,-1,0,0,1,0
"C10221",1,37,1,1,28,96,-1,28,1,-1,0
"C10221",2,38,0,1,94,83,-1,83,0,-1,1
"C10221",2,39,1,0,86,63,-1,0,0,1,0
"C10221",2,40,1,0,53,99,-1,0,0,1,0
"C10221",2,41,1,0,91,29,-1,0,0,1,0
"C10221",2,42,1,0,64,88,-1,0,0,1,0
"C10221",2,43,1,0,70,84,-1,0,0,1,0
"C10221",2,44,0,1,88,61,-1,61,0,-1,1
"C10221",2,45,1,0,43,61,-1,0,0,1,0
"C10221",2,46,1,0,54,87,-1,0,0,1,0
"C10221",2,47,0,1,90,5,-1,5,0,-1,1
"C10221",2,48,1,0,44,71,-1,0,0,1,0
"C10221",2,49,1,0,52,42,-1,0,0,1,0
"C10221",2,50,1,0,93,39,-1,0,0,1,0
"C10221",2,51,1,0,24,39,-1,0,0,1,0
"C10221",2,52,0,1,10,20,-1,20,0,-1,1
"C10221",2,53,0,1,43,85,-1,85,0,-1,1
"C10221",2,54,0,1,7,77,-1,77,0,-1,1
"C10221",2,55,1,0,90,95,-1,0,0,1,0
"C10221",2,56,1,0,7,56,-1,0,0,1,0
"C10221",2,57,1,0,69,50,-1,0,0,1,0
"C10221",2,58,1,0,83,4,-1,0,0,1,0
"C10221",2,59,0,1,8,40,-1,40,0,-1,1
"C10221",2,60,1,0,86,47,-1,0,0,1,0
"C10221",2,61,1,0,49,15,-1,0,0,1,0
"C10221",2,62,1,0,39,17,-1,0,0,1,0
"C10221",2,63,0,1,97,76,-1,76,0,-1,1
"C10221",2,64,1,0,14,73,-1,0,0,1,0
"C10221",2,65,1,0,29,67,-1,0,0,1,0
"C10221",2,66,1,0,39,48,-1,0,0,1,0
"C10221",2,67,1,0,99,30,-1,0,0,1,0
"C10221",2,68,0,1,20,13,-1,13,0,-1,1
"C10221",2,69,1,0,59,66,-1,0,0,1,0
"C10221",2,70,1,0,60,20,-1,0,0,1,0
"C10221",2,71,1,0,25,41,1,0,0,1,0
"C10221",1,72,0,0,70,76,1,0,1,1,1
"C10221",2,73,0,1,18,73,1,73,0,-1,1
"C10221",2,74,0,1,80,41,1,41,0,-1,1
"C10221",2,75,1,0,76,25,1,0,0,1,0
"C10221",2,76,0,1,52,34,1,34,0,-1,1
"C10221",2,77,0,1,60,30,1,30,0,-1,1
"C10221",1,78,0,0,36,91,1,0,1,1,1
"C10221",2,79,0,1,59,70,1,70,0,-1,1
"C10221",2,80,1,0,47,64,1,0,0,1,0
"C10221",2,81,0,1,44,28,1,28,0,-1,1
"C10221",2,82,0,1,80,2,1,2,0,-1,1
"C10221",2,83,0,1,39,20,1,20,0,-1,1
"C10221",2,84,0,1,61,32,1,32,0,-1,1
"C10221",1,85,0,0,61,90,1,0,1,1,1
"C10221",2,86,1,0,70,62,1,0,0,1,0
"C10221",2,87,0,1,33,17,1,17,0,-1,1
"C10221",1,88,0,0,17,74,1,0,1,1,1
"C10221",2,89,0,1,85,2,1,2,0,-1,1
"C10221",2,90,0,1,76,39,1,39,0,-1,1
"C10221",1,91,0,0,20,70,1,0,1,1,1
"C10221",2,92,1,0,69,24,1,0,0,1,0
"C10221",2,93,1,0,52,59,1,0,0,1,0
"C10221",2,94,0,1,43,15,1,15,0,-1,1
"C10221",1,95,1,1,34,50,1,34,1,-1,0
"C10221",1,96,0,0,48,43,1,0,1,1,1
"C10221",2,97,1,0,35,14,1,0,0,1,0
"C10221",2,98,1,0,42,12,1,0,0,1,0
"C10221",2,99,1,0,44,40,1,0,0,1,0
"C10221",1,100,1,1,50,88,1,50,1,-1,0
"C10221",2,101,1,0,19,51,1,0,0,1,0
"C10221",2,102,1,0,59,44,1,0,0,1,0
"C10221",1,103,1,1,9,23,1,9,1,-1,0
"C10221",2,104,1,0,76,23,1,0,0,1,0
"C10221",2,105,1,0,47,94,1,0,0,1,0
"C10221",1,106,0,0,56,67,1,0,1,1,1
"C10221",1,107,1,1,16,50,1,16,1,-1,0
"C10221",1,108,1,1,7,83,1,7,1,-1,0
"C10221",1,109,1,1,41,86,1,41,1,-1,0
"C10221",2,110,1,0,37,61,1,0,0,1,0
"C10221",2,111,0,1,57,82,1,82,0,-1,1
"C10221",2,112,0,1,28,68,1,68,0,-1,1
"C10221",2,113,0,1,76,65,1,65,0,-1,1
"C10221",2,114,0,1,19,25,1,25,0,-1,1
"C10221",2,115,0,1,68,67,1,67,0,-1,1
"C10221",2,116,0,1,68,82,1,82,0,-1,1
"C10221",1,117,0,0,19,88,1,0,1,1,1
"C10221",2,118,1,0,11,55,1,0,0,1,0
"C10221",2,119,1,0,36,74,1,0,0,1,0
"C10221",2,120,0,1,64,18,1,18,0,-1,1
"C10221",2,121,0,1,3,15,1,15,0,-1,1
"C10221",2,122,0,1,76,91,1,91,0,-1,1
"C10221",2,123,0,1,92,66,1,66,0,-1,1
"C10221",2,124,0,1,14,67,1,67,0,-1,1
"C10221",2,125,1,0,77,11,1,0,0,1,0
"C10221",2,126,0,1,20,36,1,36,0,-1,1
"C10221",2,127,0,1,61,44,1,44,0,-1,1
"C10221",2,128,0,1,34,4,1,4,0,-1,1
"C10221",2,129,0,1,63,86,1,86,0,-1,1
"C10221",2,130,0,1,43,99,1,99,0,-1,1
"C10221",2,131,1,0,56,95,1,0,0,1,0
"C10221",2,132,0,1,63,89,1,89,0,-1,1
"C10221",2,133,1,0,80,88,1,0,0,1,0
"C10221",2,134,0,1,10,5,1,5,0,-1,1
"C10221",2,135,1,0,80,35,1,0,0,1,0
"C10221",2,136,1,0,57,8,1,0,0,1,0
"C10221",2,137,1,0,47,78,1,0,0,1,0
"C10221",2,138,1,0,99,5,1,0,0,1,0
"C10221",2,139,1,0,67,62,1,0,0,1,0
"C10221",1,140,0,0,27,95,1,0,1,1,1
"C10275",1,1,1,1,37,44,-1,37,1,-1,0
"C10275",1,2,1,1,12,66,-1,12,1,-1,0
"C10275",1,3,1,1,9,98,-1,9,1,-1,0
"C10275",2,4,0,1,91,20,-1,20,0,-1,1
"C10275",1,5,1,1,8,28,-1,8,1,-1,0
"C10275",2,6,1,0,33,30,-1,0,0,1,0
"C10275",2,7,1,0,24,27,-1,0,0,1,0
"C10275",2,8,0,1,43,58,-1,58,0,-1,1
"C10275",2,9,1,0,47,72,-1,0,0,1,0
"C10275",2,10,0,1,44,44,-1,44,0,-1,1
"C10275",2,11,1,0,26,69,-1,0,0,1,0
"C10275",2,12,1,0,41,6,-1,0,0,1,0
"C10275",1,13,1,1,34,88,-1,34,1,-1,0
"C10275",1,14,0,0,18,73,-1,0,1,1,1
"C10275",1,15,1,1,25,60,-1,25,1,-1,0
"C10275",1,16,1,1,6,68,-1,6,1,-1,0
"C10275",2,17,0,1,39,48,-1,48,0,-1,1
"C10275",2,18,1,0,76,35,-1,0,0,1,0
"C10275",2,19,1,0,85,23,-1,0,0,1,0
"C10275",1,20,1,1,22,54,-1,22,1,-1,0
"C10275",2,21,0,1,58,66,-1,66,0,-1,1
"C10275",2,22,1,0,41,98,-1,0,0,1,0
"C10275",2,23,1,0,80,58,-1,0,0,1,0
"C10275",2,24,1,0,85,32,-1,0,0,1,0
"C10275",1,25,0,0,15,83,-1,0,1,1,1
"C10275",2,26,1,0,16,18,-1,0,0,1,0
"C10275",2,27,1,0,99,56,-1,0,0,1,0
"C10275",2,28,1,0,75,23,-1,0,0,1,0
"C10275",1,29,1,1,18,68,-1,18,1,-1,0
"C10275",2,30,1,0,16,30,-1,0,0,1,0
"C10275",2,31,1,0,37,86,-1,0,0,1,0
"C10275",2,32,1,0,44,47,-1,0,0,1,0
"C10275",2,33,1,0,91,3,-1,0,0,1,0
"C10275",1,34,0,0,14,60,-1,0,1,1,1
"C10275",2,35,1,0,84,54,-1,0,0,1,0
"C10275",2,36,1,0,23,34,-1,0,0,1,0
"C10275",1,37,1,1,28,96,-1,28,1,-1,0
"C10275",2,38,0,1,94,83,-1,83,0,-1,1
"C10275",2,39,1,0,86,63,-1,0,0,1,0
"C10275",2,40,1,0,53,99,-1,0,0,1,0
"C10275",2,41,1,0,91,29,-1,0,0,1,0
"C10275",2,42,1,0,64,88,-1,0,0,1,0
"C10275",2,43,1,0,70,84,-1,0,0,1,0
"C10275",2,44,0,1,88,61,-1,61,0,-1,1
"C10275",2,45,1,0,43,61,-1,0,0,1,0
"C10275",2,46,1,0,54,87,-1,0,0,1,0
"C10275",2,47,0,1,90,5,-1,5,0,-1,1
"C10275",2,48,1,0,44,71,-1,0,0,1,0
"C10275",2,49,1,0,52,42,-1,0,0,1,0
"C10275",2,50,1,0,93,39,-1,0,0,1,0
"C10275",2,51,1,0,24,39,-1,0,0,1,0
"C10275",2,52,0,1,10,20,-1,20,0,-1,1
"C10275",2,53,0,1,43,85,-1,85,0,-1,1
"C10275",1,54,0,0,7,77,-1,0,1,1,1
"C10275",2,55,1,0,90,95,-1,0,0,1,0
"C10275",1,56,1,1,7,56,-1,7,1,-1,0
"C10275",2,57,1,0,69,50,-1,0,0,1,0
"C10275",2,58,1,0,83,4,-1,0,0,1,0
"C10275",1,59,0,0,8,40,-1,0,1,1,1
"C10275",2,60,1,0,86,47,-1,0,0,1,0
"C10275",2,61,1,0,49,15,-1,0,0,1,0
"C10275",2,62,1,0,39,17,-1,0,0,1,0
"C10275",2,63,0,1,97,76,-1,76,0,-1,1
"C10275",2,64,1,0,14,73,-1,0,0,1,0
"C10275",2,65,1,0,29,67,-1,0,0,1,0
"C10275",2,66,1,0,39,48,-1,0,0,1,0
"C10275",2,67,1,0,99,30,-1,0,0,1,0
"C10275",2,68,0,1,20,13,-1,13,0,-1,1
"C10275",2,69,1,0,59,66,-1,0,0,1,0
"C10275",2,70,1,0,60,20,-1,0,0,1,0
"C10275",2,71,1,0,25,41,1,0,0,1,0
"C10275",2,72,0,1,70,76,1,76,0,-1,1
"C10275",2,73,0,1,18,73,1,73,0,-1,1
"C10275",2,74,0,1,80,41,1,41,0,-1,1
"C10275",2,75,1,0,76,25,1,0,0,1,0
"C10275",2,76,0,1,52,34,1,34,0,-1,1
"C10275",2,77,0,1,60,30,1,30,0,-1,1
"C10275",1,78,0,0,36,91,1,0,1,1,1
"C10275",1,79,0,0,59,70,1,0,1,1,1
"C10275",1,80,1,1,47,64,1,47,1,-1,0
"C10275",1,81,0,0,44,28,1,0,1,1,1
"C10275",2,82,0,1,80,2,1,2,0,-1,1
"C10275",1,83,0,0,39,20,1,0,1,1,1
"C10275",1,84,0,0,61,32,1,0,1,1,1
"C10275",1,85,0,0,61,90,1,0,1,1,1
"C10275",1,86,1,1,70,62,1,70,1,-1,0
"C10275",1,87,0,0,33,17,1,0,1,1,1
"C10275",1,88,0,0,17,74,1,0,1,1,1
"C10275",2,89,0,1,85,2,1,2,0,-1,1
"C10275",1,90,0,0,76,39,1,0,1,1,1
"C10275",1,91,0,0,20,70,1,0,1,1,1
"C10275",1,92,1,1,69,24,1,69,1,-1,0
"C10275",1,93,1,1,52,59,1,52,1,-1,0
"C10275",2,94,0,1,43,15,1,15,0,-1,1
"C10275",1,95,1,1,34,50,1,34,1,-1,0
"C10275",2,96,0,1,48,43,1,43,0,-1,1
"C10275",2,97,1,0,35,14,1,0,0,1,0
"C10275",2,98,1,0,42,12,1,0,0,1,0
"C10275",2,99,1,0,44,40,1,0,0,1,0
"C10275",1,100,1,1,50,88,1,50,1,-1,0
"C10275",1,101,1,1,19,51,1,19,1,-1,0
"C10275",2,102,1,0,59,44,1,0,0,1,0
"C10275",1,103,1,1,9,23,1,9,1,-1,0
"C10275",2,104,1,0,76,23,1,0,0,1,0
"C10275",2,105,1,0,47,94,1,0,0,1,0
"C10275",2,106,0,1,56,67,1,67,0,-1,1
"C10275",2,107,1,0,16,50,1,0,0,1,0
"C10275",1,108,1,1,7,83,1,7,1,-1,0
"C10275",2,109,1,0,41,86,1,0,0,1,0
"C10275",2,110,1,0,37,61,1,0,0,1,0
"C10275",2,111,0,1,57,82,1,82,0,-1,1
"C10275",2,112,0,1,28,68,1,68,0,-1,1
"C10275",1,113,0,0,76,65,1,0,1,1,1
"C10275",1,114,0,0,19,25,1,0,1,1,1
"C10275",1,115,0,0,68,67,1,0,1,1,1
"C10275",1,116,0,0,68,82,1,0,1,1,1
"C10275",1,117,0,0,19,88,1,0,1,1,1
"C10275",1,118,1,1,11,55,1,11,1,-1,0
"C10275",1,119,1,1,36,74,1,36,1,-1,0
"C10275",2,120,0,1,64,18,1,18,0,-1,1
"C10275",1,121,0,0,3,15,1,0,1,1,1
"C10275",1,122,0,0,76,91,1,0,1,1,1
"C10275",1,123,0,0,92,66,1,0,1,1,1
"C10275",1,124,0,0,14,67,1,0,1,1,1
"C10275",2,125,1,0,77,11,1,0,0,1,0
"C10275",1,126,0,0,20,36,1,0,1,1,1
"C10275",1,127,0,0,61,44,1,0,1,1,1
"C10275",2,128,0,1,34,4,1,4,0,-1,1
"C10275",1,129,0,0,63,86,1,0,1,1,1
"C10275",1,130,0,0,43,99,1,0,1,1,1
"C10275",1,131,1,1,56,95,1,56,1,-1,0
"C10275",1,132,0,0,63,89,1,0,1,1,1
"C10275",1,133,1,1,80,88,1,80,1,-1,0
"C10275",2,134,0,1,10,5,1,5,0,-1,1
"C10275",2,135,1,0,80,35,1,0,0,1,0
"C10275",2,136,1,0,57,8,1,0,0,1,0
"C10275",1,137,1,1,47,78,1,47,1,-1,0
"C10275",2,138,1,0,99,5,1,0,0,1,0
"C10275",2,139,1,0,67,62,1,0,0,1,0
"C10275",1,140,0,0,27,95,1,0,1,1,1
"C10302",1,1,1,1,37,44,-1,37,1,-1,0
"C10302",1,2,1,1,12,66,-1,12,1,-1,0
"C10302",2,3,1,0,9,98,-1,0,0,1,0
"C10302",2,4,0,1,91,20,-1,20,0,-1,1
"C10302",2,5,1,0,8,28,-1,0,0,1,0
"C10302",2,6,1,0,33,30,-1,0,0,1,0
"C10302",1,7,1,1,24,27,-1,24,1,-1,0
"C10302",2,8,0,1,43,58,-1,58,0,-1,1
"C10302",2,9,1,0,47,72,-1,0,0,1,0
"C10302",2,10,0,1,44,44,-1,44,0,-1,1
"C10302",2,11,1,0,26,69,-1,0,0,1,0
"C10302",2,12,1,0,41,6,-1,0,0,1,0
"C10302",2,13,1,0,34,88,-1,0,0,1,0
"C10302",2,14,0,1,18,73,-1,73,0,-1,1
"C10302",2,15,1,0,25,60,-1,0,0,1,0
"C10302",2,16,1,0,6,68,-1,0,0,1,0
"C10302",1,17,0,0,39,48,-1,0,1,1,1
"C10302",2,18,1,0,76,35,-1,0,0,1,0
"C10302",2,19,1,0,85,23,-1,0,0,1,0
"C10302",1,20,1,1,22,54,-1,22,1,-1,0
"C10302",2,21,0,1,58,66,-1,66,0,-1,1
"C10302",2,22,1,0,41,98,-1,0,0,1,0
"C10302",2,23,1,0,80,58,-1,0,0,1,0
"C10302",2,24,1,0,85,32,-1,0,0,1,0
"C10302",1,25,0,0,15,83,-1,0,1,1,1
"C10302",2,26,1,0,16,18,-1,0,0,1,0
"C10302",2,27,1,0,99,56,-1,0,0,1,0
"C10302",2,28,1,0,75,23,-1,0,0,1,0
"C10302",1,29,1,1,18,68,-1,18,1,-1,0
"C10302",2,30,1,0,16,30,-1,0,0,1,0
"C10302",2,31,1,0,37,86,-1,0,0,1,0
"C10302",1,32,1,1,44,47,-1,44,1,-1,0
"C10302",2,33,1,0,91,3,-1,0,0,1,0
"C10302",2,34,0,1,14,60,-1,60,0,-1,1
"C10302",2,35,1,0,84,54,-1,0,0,1,0
"C10302",2,36,1,0,23,34,-1,0,0,1,0
"C10302",2,37,1,0,28,96,-1,0,0,1,0
"C10302",1,38,0,0,94,83,-1,0,1,1,1
"C10302",2,39,1,0,86,63,-1,0,0,1,0
"C10302",2,40,1,0,53,99,-1,0,0,1,0
"C10302",2,41,1,0,91,29,-1,0,0,1,0
"C10302",1,42,1,1,64,88,-1,64,1,-1,0
"C10302",2,43,1,0,70,84,-1,0,0,1,0
"C10302",2,44,0,1,88,61,-1,61,0,-1,1
"C10302",2,45,1,0,43,61,-1,0,0,1,0
"C10302",2,46,1,0,54,87,-1,0,0,1,0
"C10302",2,47,0,1,90,5,-1,5,0,-1,1
"C10302",2,48,1,0,44,71,-1,0,0,1,0
"C10302",2,49,1,0,52,42,-1,0,0,1,0
"C10302",2,50,1,0,93,39,-1,0,0,1,0
"C10302",2,51,1,0,24,39,-1,0,0,1,0
"C10302",2,52,0,1,10,20,-1,20,0,-1,1
"C10302",2,53,0,1,43,85,-1,85,0,-1,1
"C10302",2,54,0,1,7,77,-1,77,0,-1,1
"C10302",2,55,1,0,90,95,-1,0,0,1,0
"C10302",2,56,1,0,7,56,-1,0,0,1,0
"C10302",2,57,1,0,69,50,-1,0,0,1,0
"C10302",2,58,1,0,83,4,-1,0,0,1,0
"C10302",2,59,0,1,8,40,-1,40,0,-1,1
"C10302",2,60,1,0,86,47,-1,0,0,1,0
"C10302",2,61,1,0,49,15,-1,0,0,1,0
"C10302",2,62,1,0,39,17,-1,0,0,1,0
"C10302",2,63,0,1,97,76,-1,76,0,-1,1
"C10302",1,64,1,1,14,73,-1,14,1,-1,0
"C10302",2,65,1,0,29,67,-1,0,0,1,0
"C10302",2,66,1,0,39,48,-1,0,0,1,0
"C10302",2,67,1,0,99,30,-1,0,0,1,0
"C10302",2,68,0,1,20,13,-1,13,0,-1,1
"C10302",2,69,1,0,59,66,-1,0,0,1,0
"C10302",2,70,1,0,60,20,-1,0,0,1,0
"C10302",2,71,1,0,25,41,1,0,0,1,0
"C10302",2,72,0,1,70,76,1,76,0,-1,1
"C10302",2,73,0,1,18,73,1,73,0,-1,1
"C10302",2,74,0,1,80,41,1,41,0,-1,1
"C10302",2,75,1,0,76,25,1,0,0,1,0
"C10302",2,76,0,1,52,34,1,34,0,-1,1
"C10302",1,77,0,0,60,30,1,0,1,1,1
"C10302",1,78,0,0,36,91,1,0,1,1,1
"C10302",1,79,0,0,59,70,1,0,1,1,1
"C10302",1,80,1,1,47,64,1,47,1,-1,0
"C10302",1,81,0,0,44,28,1,0,1,1,1
"C10302",1,82,0,0,80,2,1,0,1,1,1
"C10302",1,83,0,0,39,20,1,0,1,1,1
"C10302",1,84,0,0,61,32,1,0,1,1,1
"C10302",2,85,0,1,61,90,1,90,0,-1,1
"C10302",1,86,1,1,70,62,1,70,1,-1,0
"C10302",1,87,0,0,33,17,1,0,1,1,1
"C10302",2,88,0,1,17,74,1,74,0,-1,1
"C10302",1,89,0,0,85,2,1,0,1,1,1
"C10302",1,90,0,0,76,39,1,0,1,1,1
"C10302",1,91,0,0,20,70,1,0,1,1,1
"C10302",1,92,1,1,69,24,1,69,1,-1,0
"C10302",1,93,1,1,52,59,1,52,1,-1,0
"C10302",1,94,0,0,43,15,1,0,1,1,1
"C10302",1,95,1,1,34,50,1,34,1,-1,0
"C10302",2,96,0,1,48,43,1,43,0,-1,1
"C10302",1,97,1,1,35,14,1,35,1,-1,0
"C10302",2,98,1,0,42,12,1,0,0,1,0
"C10302",2,99,1,0,44,40,1,0,0,1,0
"C10302",2,100,1,0,50,88,1,0,0,1,0
"C10302",2,101,1,0,19,51,1,0,0,1,0
"C10302",2,102,1,0,59,44,1,0,0,1,0
"C10302",2,103,1,0,9,23,1,0,0,1,0
"C10302",2,104,1,0,76,23,1,0,0,1,0
"C10302",2,105,1,0,47,94,1,0,0,1,0
"C10302",2,106,0,1,56,67,1,67,0,-1,1
"C10302",2,107,1,0,16,50,1,0,0,1,0
"C10302",2,108,1,0,7,83,1,0,0,1,0
"C10302",2,109,1,0,41,86,1,0,0,1,0
"C10302",2,110,1,0,37,61,1,0,0,1,0
"C10302",2,111,0,1,57,82,1,82,0,-1,1
"C10302",2,112,0,1,28,68,1,68,0,-1,1
"C10302",1,113,0,0,76,65,1,0,1,1,1
"C10302",1,114,0,0,19,25,1,0,1,1,1
"C10302",2,115,0,1,68,67,1,67,0,-1,1
"C10302",2,116,0,1,68,82,1,82,0,-1,1
"C10302",2,117,0,1,19,88,1,88,0,-1,1
"C10302",1,118,1,1,11,55,1,11,1,-1,0
"C10302",1,119,1,1,36,74,1,36,1,-1,0
"C10302",2,120,0,1,64,18,1,18,0,-1,1
"C10302",2,121,0,1,3,15,1,15,0,-1,1
"C10302",2,122,0,1,76,91,1,91,0,-1,1
"C10302",1,123,0,0,92,66,1,0,1,1,1
"C10302",1,124,0,0,14,67,1,0,1,1,1
"C10302",1,125,1,1,77,11,1,77,1,-1,0
"C10302",2,126,0,1,20,36,1,36,0,-1,1
"C10302",2,127,0,1,61,44,1,44,0,-1,1
"C10302",1,128,0,0,34,4,1,0,1,1,1
"C10302",1,129,0,0,63,86,1,0,1,1,1
"C10302",1,130,0,0,43,99,1,0,1,1,1
"C10302",1,131,1,1,56,95,1,56,1,-1,0
"C10302",1,132,0,0,63,89,1,0,1,1,1
"C10302",1,133,1,1,80,88,1,80,1,-1,0
"C10302",1,134,0,0,10,5,1,0,1,1,1
"C10302",1,135,1,1,80,35,1,80,1,-1,0
"C10302",1,136,1,1,57,8,1,57,1,-1,0
"C10302",2,137,1,0,47,78,1,0,0,1,0
"C10302",2,138,1,0,99,5,1,0,0,1,0
"C10302",2,139,1,0,67,62,1,0,0,1,0
"C10302",2,140,0,1,27,95,1,95,0,-1,1
"C10306",1,1,1,1,37,44,-1,37,1,-1,0
"C10306",1,2,1,1,12,66,-1,12,1,-1,0
"C10306",2,3,1,0,9,98,-1,0,0,1,0
"C10306",2,4,0,1,91,20,-1,20,0,-1,1
"C10306",2,5,1,0,8,28,-1,0,0,1,0
"C10306",2,6,1,0,33,30,-1,0,0,1,0
"C10306",2,7,1,0,24,27,-1,0,0,1,0
"C10306",2,8,0,1,43,58,-1,58,0,-1,1
"C10306",1,9,1,1,47,72,-1,47,1,-1,0
"C10306",2,10,0,1,44,44,-1,44,0,-1,1
"C10306",1,11,1,1,26,69,-1,26,1,-1,0
"C10306",2,12,1,0,41,6,-1,0,0,1,0
"C10306",2,13,1,0,34,88,-1,0,0,1,0
"C10306",1,14,0,0,18,73,-1,0,1,1,1
"C10306",1,15,1,1,25,60,-1,25,1,-1,0
"C10306",1,16,1,1,6,68,-1,6,1,-1,0
